分类,English,德语/German,意大利语/Italian,西班牙语/Spanish,法语/French,波兰语/Polish,荷兰语/Dutch,爱尔兰语/Irish,日语/Japanese,阿拉伯语/Arabic,葡萄牙语/Portuguese
故障排查,⚡Compability issue? - Let's see if we can fix this quickly.· Check whether your device is compatible with the wireless charger· Remove your case and try charging again,"⚡Kompatibilitätsproblem? – Lassen Sie uns sehen, ob wir das schnell beheben können.· Prüfen Sie, ob Ihr Gerät mit dem kabellosen Ladegerät kompatibel ist· Entfernen Sie die Hülle und versuchen Sie erneut zu laden",⚡Problema di compatibilità? – Vediamo se possiamo risolverlo rapidamente.· Controlla se il tuo dispositivo è compatibile con il caricabatterie wireless· Rimuovi la custodia e prova a ricaricare di nuovo,⚡¿Problema de compatibilidad? – Veamos si podemos solucionarlo rápidamente.· Comprueba si tu dispositivo es compatible con el cargador inalámbrico· Quita la funda e intenta cargar de nuevo,⚡Problème de compatibilité ? – Voyons si nous pouvons résoudre cela rapidement.· Vérifiez si votre appareil est compatible avec le chargeur sans fil· Retirez votre coque et réessayez de charger,"⚡Problem ze zgodnością? – Sprawdźmy, czy możemy to szybko naprawić.· Sprawdź, czy Twoje urządzenie jest zgodne z ładowarką bezprzewodową· Zdejmij etui i spróbuj ponownie ładować",⚡Compatibiliteitsprobleem? – Laten we kijken of we dit snel kunnen oplossen.· Controleer of je apparaat compatibel is met de draadloze oplader· Verwijder je hoesje en probeer opnieuw op te laden,⚡Fadhb comhoiriúnachta? – Féachaimis an féidir linn é seo a réiteach go tapa.· Seiceáil an bhfuil do ghléas comhoiriúnach leis an luchtaire gan sreang· Bain do chás agus bain triail as luchtú arís,⚡互換性の問題？–すぐに解決できるか確認しましょう。· デバイスがワイヤレス充電器と互換性があるか確認する· ケースを外して再度充電してみる,⚡مشكلة التوافق؟ – دعنا نرى ما إذا كان يمكننا إصلاح ذلك بسرعة.· تحقق مما إذا كان جهازك متوافقًا مع الشاحن اللاسلكي· أزل الغطاء وحاول الشحن مرة أخرى,⚡Problema de compatibilidade? – Vamos ver se podemos resolver isso rapidamente.· Verifique se seu dispositivo é compatível com o carregador sem fio· Remova a capa e tente carregar novamente
故障排查,⚡Indicator light issue? - Let's see if we can fix this quickly.· Make sure the cable and wall adapter are securely connected· Try a different cable and wall adapter,"⚡Problem mit Anzeigelampe? – Lassen Sie uns sehen, ob wir das schnell beheben können.· Stellen Sie sicher, dass Kabel und Wandadapter fest verbunden sind· Probieren Sie ein anderes Kabel und einen anderen Wandadapter",⚡Problema con la luce indicatore? – Vediamo se possiamo risolverlo rapidamente.· Assicurati che cavo e adattatore da parete siano collegati saldamente· Prova un cavo e un adattatore diversi,⚡¿Problema con la luz indicadora? – Veamos si podemos solucionarlo rápidamente.· Asegúrate de que el cable y el adaptador estén bien conectados· Prueba otro cable y adaptador,⚡Problème de voyant lumineux ? – Voyons si nous pouvons résoudre cela rapidement.· Assurez-vous que le câble et l'adaptateur mural sont bien connectés· Essayez un autre câble et adaptateur,"⚡Problem ze wskaźnikiem? – Sprawdźmy, czy możemy to szybko naprawić.· Upewnij się, że kabel i adapter ścienny są pewnie podłączone· Wypróbuj inny kabel i adapter",⚡Probleem met indicatorlampje? – Laten we kijken of we dit snel kunnen oplossen.· Zorg dat kabel en wandadapter stevig zijn aangesloten· Probeer een andere kabel en wandadapter,⚡Fadhb leis an solas táscaire? – Féachaimis an féidir linn é seo a réiteach go tapa.· Cinntigh go bhfuil an cábla agus an cuibheoir balla ceangailte go daingean· Bain triail as cábla agus cuibheoir balla eile,⚡インジケーターライトの問題？–すぐに解決できるか確認しましょう。· ケーブルと壁掛けアダプターが確実に接続されていることを確認する· 別のケーブルと壁掛けアダプターを試す,⚡مشكلة ضوء المؤشر؟ – دعنا نرى ما إذا كان يمكننا إصلاح ذلك بسرعة.· تأكد من توصيل الكابل والمحول الجداري بإحكام· جرب كابلًا ومحولًا جداريًا مختلفين,⚡Problema com a luz indicadora? – Vamos ver se podemos resolver isso rapidamente.· Certifique-se de que o cabo e o adaptador de parede estejam bem conectados· Tente outro cabo e adaptador
故障,Won't transfer data,Überträgt keine Daten,Non trasferisce dati,No transfiere datos,Ne transfère pas de données,Nie przesyła danych,Draagt geen gegevens over,Ní aistríonn sonraí,データ転送できない,لا ينقل البيانات,Não transfere dados
故障,Connection issue,Verbindungsproblem,Problema di connessione,Problema de conexión,Problème de connexion,Problem z połączeniem,Verbindingsprobleem,Fadhb nasctha,接続の問題,مشكلة في الاتصال,Problema de conexão
故障排查,"⚡Won't charge? - Let's see if we can fix this quickly.· Try a different wall charger, power outlet, device· If possible, try a different cable","⚡Lädt nicht? – Lassen Sie uns sehen, ob wir das schnell beheben können.· Anderes Wandladegerät, Steckdose, Gerät ausprobieren· Falls möglich, anderes Kabel verwenden","⚡Non si carica? – Vediamo se possiamo risolverlo rapidamente.· Prova un caricatore da parete, una presa o un dispositivo diversi· Se possibile, prova un cavo diverso","⚡¿No carga? – Veamos si podemos solucionarlo rápidamente.· Prueba otro cargador de pared, enchufe o dispositivo· Si es posible, prueba otro cable","⚡Ne charge pas ? – Voyons si nous pouvons résoudre cela rapidement.· Essayez un autre chargeur mural, une autre prise, un autre appareil· Si possible, essayez un autre câble","⚡Nie ładuje się? – Sprawdźmy, czy możemy to szybko naprawić.· Wypróbuj inną ładowarkę ścienną, gniazdko, urządzenie· Jeśli to możliwe, wypróbuj inny kabel","⚡Laadt niet op? – Laten we kijken of we dit snel kunnen oplossen.· Probeer een andere wandoplader, stopcontact, apparaat· Probeer indien mogelijk een andere kabel","⚡Ní luchtaíonn? – Féachaimis an féidir linn é seo a réiteach go tapa.· Bain triail as luchtaire balla, asraon cumhachta, gléas eile· Más féidir, bain triail as cábla eile",⚡充電できない？–すぐに解決できるか確認しましょう。· 別の壁掛け充電器、電源コンセント、デバイスを試す· 可能であれば別のケーブルを試す,⚡لا يشحن؟ – دعنا نرى ما إذا كان يمكننا إصلاح ذلك بسرعة.· جرب شاحنًا جداريًا أو مقبس طاقة أو جهازًا مختلفًا· إذا أمكن، جرب كابلًا مختلفًا,"⚡Não carrega? – Vamos ver se podemos resolver isso rapidamente.· Tente outro carregador de parede, tomada, dispositivo· Se possível, tente outro cabo"
故障排查,"⚡Won't transfer data? - Let's see if we can fix this quickly.· If possible, try another compatible data cable","⚡Überträgt keine Daten? – Lassen Sie uns sehen, ob wir das schnell beheben können.· Falls möglich, ein anderes kompatibles Datenkabel ausprobieren","⚡Non trasferisce dati? – Vediamo se possiamo risolverlo rapidamente.· Se possibile, prova un altro cavo dati compatibile","⚡¿No transfiere datos? – Veamos si podemos solucionarlo rápidamente.· Si es posible, prueba otro cable de datos compatible","⚡Ne transfère pas de données ? – Voyons si nous pouvons résoudre cela rapidement.· Si possible, essayez un autre câble de données compatible","⚡Nie przesyła danych? – Sprawdźmy, czy możemy to szybko naprawić.· Jeśli to możliwe, wypróbuj inny zgodny kabel danych",⚡Draagt geen gegevens over? – Laten we kijken of we dit snel kunnen oplossen.· Probeer indien mogelijk een andere compatibele datakabel,"⚡Ní aistríonn sonraí? – Féachaimis an féidir linn é seo a réiteach go tapa.· Más féidir, bain triail as cábla sonraí comhoiriúnach eile",⚡データ転送できない？–すぐに解決できるか確認しましょう。· 可能であれば、別の互換データケーブルを試す,⚡لا ينقل البيانات؟ – دعنا نرى ما إذا كان يمكننا إصلاح ذلك بسرعة.· إذا أمكن، جرب كابل بيانات متوافقًا آخر,"⚡Não transfere dados? – Vamos ver se podemos resolver isso rapidamente.· Se possível, tente outro cabo de dados compatível"
故障排查,"⚡Connection issue? - Let's see if we can fix this quickly.· Try a different wall charger, power outlet, device· If possible, try a different cable","⚡Verbindungsproblem? – Lassen Sie uns sehen, ob wir das schnell beheben können.· Anderes Wandladegerät, Steckdose, Gerät ausprobieren· Falls möglich, anderes Kabel verwenden","⚡Problema di connessione? – Vediamo se possiamo risolverlo rapidamente.· Prova un caricatore da parete, una presa o un dispositivo diversi· Se possibile, prova un cavo diverso","⚡¿Problema de conexión? – Veamos si podemos solucionarlo rápidamente.· Prueba otro cargador de pared, enchufe o dispositivo· Si es posible, prueba otro cable","⚡Problème de connexion ? – Voyons si nous pouvons résoudre cela rapidement.· Essayez un autre chargeur mural, une autre prise, un autre appareil· Si possible, essayez un autre câble","⚡Problem z połączeniem? – Sprawdźmy, czy możemy to szybko naprawić.· Wypróbuj inną ładowarkę ścienną, gniazdko, urządzenie· Jeśli to możliwe, wypróbuj inny kabel","⚡Verbindingsprobleem? – Laten we kijken of we dit snel kunnen oplossen.· Probeer een andere wandoplader, stopcontact, apparaat· Probeer indien mogelijk een andere kabel","⚡Fadhb nasctha? – Féachaimis an féidir linn é seo a réiteach go tapa.· Bain triail as luchtaire balla, asraon cumhachta, gléas eile· Más féidir, bain triail as cábla eile",⚡接続の問題？–すぐに解決できるか確認しましょう。· 別の壁掛け充電器、電源コンセント、デバイスを試す· 可能であれば別のケーブルを試す,⚡مشكلة في الاتصال؟ – دعنا نرى ما إذا كان يمكننا إصلاح ذلك بسرعة.· جرب شاحنًا جداريًا أو مقبس طاقة أو جهازًا مختلفًا· إذا أمكن، جرب كابلًا مختلفًا,"⚡Problema de conexão? – Vamos ver se podemos resolver isso rapidamente.· Tente outro carregador de parede, tomada, dispositivo· Se possível, tente outro cabo"
故障,Wall charge issues,Probleme mit Wandladegerät,Problemi con caricatore da parete,Problemas con cargador de pared,Problèmes de chargeur mural,Problemy z ładowarką ścienną,Problemen met wandoplader,Fadhbanna le luchtaire balla,壁掛け充電器の問題,مشاكل الشاحن الجداري,Problemas com carregador de parede
故障,Charging port issue,Problem mit Ladeanschluss,Problema con la porta di ricarica,Problema con el puerto de carga,Problème de port de charge,Problem z portem ładowania,Probleem met oplaadpoort,Fadhb le port luchtaithe,充電ポートの問題,مشكلة في منفذ الشحن,Problema com a porta de carregamento
故障,Multiple ports not working as expected,Mehrere Anschlüsse funktionieren nicht wie erwartet,Più porte non funzionano come previsto,Varios puertos no funcionan como se esperaba,Plusieurs ports ne fonctionnent pas comme prévu,Wiele portów nie działa zgodnie z oczekiwaniami,Meerdere poorten werken niet zoals verwacht,Níl roinnt port ag feidhmiú mar a bhíothas ag súil,複数のポートが正常に動作しない,منافذ متعددة لا تعمل كما هو متوقع,Várias portas não funcionam como esperado
故障排查,"⚡Won't charge? - Let's see if we can fix this quickly.· Try a different cable, port, device· If possible, try a different wall charge","⚡Lädt nicht? – Lassen Sie uns sehen, ob wir das schnell beheben können.· Anderes Kabel, Anschluss, Gerät ausprobieren· Falls möglich, anderes Wandladegerät verwenden","⚡Non si carica? – Vediamo se possiamo risolverlo rapidamente.· Prova un cavo, una porta o un dispositivo diversi· Se possibile, prova un caricatore da parete diverso","⚡¿No carga? – Veamos si podemos solucionarlo rápidamente.· Prueba otro cable, puerto o dispositivo· Si es posible, prueba otro cargador de pared","⚡Ne charge pas ? – Voyons si nous pouvons résoudre cela rapidement.· Essayez un autre câble, port, appareil· Si possible, essayez un autre chargeur mural","⚡Nie ładuje się? – Sprawdźmy, czy możemy to szybko naprawić.· Wypróbuj inny kabel, port, urządzenie· Jeśli to możliwe, wypróbuj inną ładowarkę ścienną","⚡Laadt niet op? – Laten we kijken of we dit snel kunnen oplossen.· Probeer een andere kabel, poort, apparaat· Probeer indien mogelijk een andere wandoplader","⚡Ní luchtaíonn? – Féachaimis an féidir linn é seo a réiteach go tapa.· Bain triail as cábla, port, gléas eile· Más féidir, bain triail as luchtaire balla eile",⚡充電できない？–すぐに解決できるか確認しましょう。· 別のケーブル、ポート、デバイスを試す· 可能であれば別の壁掛け充電器を試す,⚡لا يشحن؟ – دعنا نرى ما إذا كان يمكننا إصلاح ذلك بسرعة.· جرب كابلًا أو منفذًا أو جهازًا مختلفًا· إذا أمكن، جرب شاحنًا جداريًا مختلفًا,"⚡Não carrega? – Vamos ver se podemos resolver isso rapidamente.· Tente outro cabo, porta, dispositivo· Se possível, tente outro carregador de parede"
故障排查,"⚡Charging port issue? - Let's see if we can fix this quickly.· Try a different cable, charging port, device· Check the port for visible damage or debris","⚡Problem mit Ladeanschluss? – Lassen Sie uns sehen, ob wir das schnell beheben können.· Anderes Kabel, Ladeanschluss, Gerät ausprobieren· Anschluss auf sichtbare Schäden oder Schmutz prüfen","⚡Problema con la porta di ricarica? – Vediamo se possiamo risolverlo rapidamente.· Prova un cavo, una porta o un dispositivo diversi· Controlla la porta per danni visibili o detriti","⚡¿Problema con el puerto de carga? – Veamos si podemos solucionarlo rápidamente.· Prueba otro cable, puerto o dispositivo· Revisa el puerto por daños visibles o residuos","⚡Problème de port de charge ? – Voyons si nous pouvons résoudre cela rapidement.· Essayez un autre câble, port, appareil· Vérifiez le port pour des dommages visibles ou des débris","⚡Problem z portem ładowania? – Sprawdźmy, czy możemy to szybko naprawić.· Wypróbuj inny kabel, port, urządzenie· Sprawdź port pod kątem widocznych uszkodzeń lub zanieczyszczeń","⚡Probleem met oplaadpoort? – Laten we kijken of we dit snel kunnen oplossen.· Probeer een andere kabel, poort, apparaat· Controleer de poort op zichtbare schade of vuil","⚡Fadhb le port luchtaithe? – Féachaimis an féidir linn é seo a réiteach go tapa.· Bain triail as cábla, port, gléas eile· Seiceáil an port le haghaidh damáiste nó smionagar infheicthe",⚡充電ポートの問題？–すぐに解決できるか確認しましょう。· 別のケーブル、充電ポート、デバイスを試す· ポートに目に見える損傷や異物がないか確認する,⚡مشكلة في منفذ الشحن؟ – دعنا نرى ما إذا كان يمكننا إصلاح ذلك بسرعة.· جرب كابلًا أو منفذ شحن أو جهازًا مختلفًا· افحص المنفذ بحثًا عن تلف أو حطام مرئي,"⚡Problema com a porta de carregamento? – Vamos ver se podemos resolver isso rapidamente.· Tente outro cabo, porta, dispositivo· Verifique a porta quanto a danos visíveis ou detritos"
故障排查,"⚡Multiple ports not working as expected? - Let's see if we can fix this quickly.· Check your charger's power distribution when multiple devices are connected· If possible, try each port individually to identify the issue","⚡Mehrere Anschlüsse funktionieren nicht wie erwartet? – Lassen Sie uns sehen, ob wir das schnell beheben können.· Prüfen Sie die Stromverteilung Ihres Ladegeräts, wenn mehrere Geräte verbunden sind· Falls möglich, testen Sie jeden Anschluss einzeln, um das Problem zu finden","⚡Più porte non funzionano come previsto? – Vediamo se possiamo risolverlo rapidamente.· Controlla la distribuzione di potenza del caricatore quando più dispositivi sono collegati· Se possibile, prova ogni porta singolarmente per identificare il problema","⚡¿Varios puertos no funcionan como se esperaba? – Veamos si podemos solucionarlo rápidamente.· Comprueba la distribución de energía del cargador cuando hay varios dispositivos conectados· Si es posible, prueba cada puerto individualmente","⚡Plusieurs ports ne fonctionnent pas comme prévu ? – Voyons si nous pouvons résoudre cela rapidement.· Vérifiez la répartition de puissance du chargeur lorsque plusieurs appareils sont connectés· Si possible, testez chaque port individuellement","⚡Wiele portów nie działa zgodnie z oczekiwaniami? – Sprawdźmy, czy możemy to szybko naprawić.· Sprawdź dystrybucję mocy ładowarki, gdy podłączonych jest wiele urządzeń· Jeśli to możliwe, przetestuj każdy port osobno",⚡Meerdere poorten werken niet zoals verwacht? – Laten we kijken of we dit snel kunnen oplossen.· Controleer de stroomverdeling van je oplader wanneer meerdere apparaten zijn aangesloten· Probeer indien mogelijk elke poort afzonderlijk,"⚡Níl roinnt port ag feidhmiú mar a bhíothas ag súil? – Féachaimis an féidir linn é seo a réiteach go tapa.· Seiceáil dáileadh cumhachta do luchtaire nuair a bhíonn ilghléasanna ceangailte· Más féidir, bain triail as gach port ina n-aonar",⚡複数のポートが正常に動作しない？–すぐに解決できるか確認しましょう。· 複数のデバイスが接続されているときの充電器の電力分配を確認する· 可能であれば各ポートを個別に試して問題を特定する,⚡منافذ متعددة لا تعمل كما هو متوقع؟ – دعنا نرى ما إذا كان يمكننا إصلاح ذلك بسرعة.· تحقق من توزيع طاقة الشاحن عند توصيل أجهزة متعددة· إذا أمكن، جرب كل منفذ على حدة لتحديد المشكلة,"⚡Várias portas não funcionam como esperado? – Vamos ver se podemos resolver isso rapidamente.· Verifique a distribuição de energia do carregador quando vários dispositivos estão conectados· Se possível, teste cada porta individualmente"
故障,Car charger issues,Probleme mit Auto-Ladegerät,Problemi con caricatore da auto,Problemas con cargador de coche,Problèmes de chargeur de voiture,Problemy z ładowarką samochodową,Problemen met autolader,Fadhbanna le luchtaire cairr,カー充電器の問題,مشاكل شاحن السيارة,Problemas com carregador de carro
故障,Doesn't fit or stay secure,Passt nicht oder sitzt nicht sicher,Non si adatta o non resta fermo,No encaja o no se mantiene seguro,Ne s'adapte pas ou ne tient pas bien,Nie pasuje lub nie trzyma się pewnie,Past niet of blijft niet stevig zitten,Ní luíonn nó ní fhanann daingean,適合しない、またはしっかり固定されない,لا يناسب أو لا يثبت بإحكام,Não encaixa ou não fica firme
故障排查,"⚡Won't charge? - Let's see if we can fix this quickly.· Make sure the car charger is securely connected to the lighter socket· Try a different cable, port, device","⚡Lädt nicht? – Lassen Sie uns sehen, ob wir das schnell beheben können.· Stellen Sie sicher, dass das Auto-Ladegerät fest mit der Zigarettenanzünderbuchse verbunden ist· Anderes Kabel, Anschluss, Gerät ausprobieren","⚡Non si carica? – Vediamo se possiamo risolverlo rapidamente.· Assicurati che il caricatore da auto sia collegato saldamente alla presa accendisigari· Prova un cavo, una porta o un dispositivo diversi","⚡¿No carga? – Veamos si podemos solucionarlo rápidamente.· Asegúrate de que el cargador de coche esté bien conectado a la toma del encendedor· Prueba otro cable, puerto o dispositivo","⚡Ne charge pas ? – Voyons si nous pouvons résoudre cela rapidement.· Assurez-vous que le chargeur de voiture est bien connecté à la prise allume-cigare· Essayez un autre câble, port, appareil","⚡Nie ładuje się? – Sprawdźmy, czy możemy to szybko naprawić.· Upewnij się, że ładowarka samochodowa jest pewnie podłączona do gniazda zapalniczki· Wypróbuj inny kabel, port, urządzenie","⚡Laadt niet op? – Laten we kijken of we dit snel kunnen oplossen.· Zorg dat de autolader stevig is aangesloten op de sigarettenaansteker· Probeer een andere kabel, poort, apparaat","⚡Ní luchtaíonn? – Féachaimis an féidir linn é seo a réiteach go tapa.· Cinntigh go bhfuil an luchtaire cairr ceangailte go daingean leis an soicéad lastóirí· Bain triail as cábla, port, gléas eile",⚡充電できない？–すぐに解決できるか確認しましょう。· カー充電器がシガーソケットに確実に接続されていることを確認する· 別のケーブル、ポート、デバイスを試す,⚡لا يشحن؟ – دعنا نرى ما إذا كان يمكننا إصلاح ذلك بسرعة.· تأكد من توصيل شاحن السيارة بإحكام بمقبس الولاعة· جرب كابلًا أو منفذًا أو جهازًا مختلفًا,"⚡Não carrega? – Vamos ver se podemos resolver isso rapidamente.· Certifique-se de que o carregador de carro esteja bem conectado à tomada do isqueiro· Tente outro cabo, porta, dispositivo"
故障排查,⚡Doesn't fit or stay secure? - Let's see if we can fix this quickly.· Make sure the car charger is securely connected to the lighter socket· Check that the socket is compatible with the charger's size and design,"⚡Passt nicht oder sitzt nicht sicher? – Lassen Sie uns sehen, ob wir das schnell beheben können.· Stellen Sie sicher, dass das Auto-Ladegerät fest mit der Zigarettenanzünderbuchse verbunden ist· Prüfen Sie, ob die Buchse mit Größe und Design des Ladegeräts kompatibel ist",⚡Non si adatta o non resta fermo? – Vediamo se possiamo risolverlo rapidamente.· Assicurati che il caricatore da auto sia collegato saldamente alla presa accendisigari· Verifica che la presa sia compatibile con dimensioni e design del caricatore,⚡¿No encaja o no se mantiene seguro? – Veamos si podemos solucionarlo rápidamente.· Asegúrate de que el cargador esté bien conectado a la toma del encendedor· Comprueba que la toma sea compatible con el tamaño y diseño del cargador,⚡Ne s'adapte pas ou ne tient pas bien ? – Voyons si nous pouvons résoudre cela rapidement.· Assurez-vous que le chargeur est bien connecté à la prise allume-cigare· Vérifiez que la prise est compatible avec la taille et la conception du chargeur,"⚡Nie pasuje lub nie trzyma się pewnie? – Sprawdźmy, czy możemy to szybko naprawić.· Upewnij się, że ładowarka jest pewnie podłączona do gniazda zapalniczki· Sprawdź, czy gniazdo jest zgodne z rozmiarem i konstrukcją ładowarki",⚡Past niet of blijft niet stevig zitten? – Laten we kijken of we dit snel kunnen oplossen.· Zorg dat de autolader stevig is aangesloten op de sigarettenaansteker· Controleer of de aansluiting compatibel is met formaat en ontwerp van de oplader,⚡Ní luíonn nó ní fhanann daingean? – Féachaimis an féidir linn é seo a réiteach go tapa.· Cinntigh go bhfuil an luchtaire cairr ceangailte go daingean leis an soicéad lastóirí· Seiceáil go bhfuil an soicéad comhoiriúnach le méid agus dearadh an luchtaire,⚡適合しない、またはしっかり固定されない？–すぐに解決できるか確認しましょう。· カー充電器がシガーソケットに確実に接続されていることを確認する· ソケットが充電器のサイズとデザインに互換性があるか確認する,⚡لا يناسب أو لا يثبت بإحكام؟ – دعنا نرى ما إذا كان يمكننا إصلاح ذلك بسرعة.· تأكد من توصيل شاحن السيارة بإحكام بمقبس الولاعة· تحقق من أن المقبس متوافق مع حجم وتصميم الشاحن,⚡Não encaixa ou não fica firme? – Vamos ver se podemos resolver isso rapidamente.· Certifique-se de que o carregador esteja bem conectado à tomada do isqueiro· Verifique se a tomada é compatível com o tamanho e design do carregador
提示标题,Have you completed the quick troubleshooting?,Haben Sie die Schnell-Fehlerbehebung abgeschlossen?,Hai completato la risoluzione rapida dei problemi?,¿Has completado la resolución rápida de problemas?,Avez-vous terminé le dépannage rapide ?,Czy ukończyłeś szybkie rozwiązywanie problemów?,Heb je de snelle probleemoplossing voltooid?,Ar chríochnaigh tú an fabhtcheartú tapa?,クイックトラブルシューティングは完了しましたか？,هل أكملت استكشاف الأخطاء السريع؟,Você concluiu a solução rápida de problemas?
一级选项,"Yes, but it still doesn't work","Ja, aber es funktioniert immer noch nicht","Sì, ma ancora non funziona","Sí, pero todavía no funciona","Oui, mais ça ne fonctionne toujours pas","Tak, ale nadal nie działa","Ja, maar het werkt nog steeds niet","Tá, ach ní oibríonn sé fós",はい、でもまだ動作しません,نعم، لكنه ما زال لا يعمل,"Sim, mas ainda não funciona"
一级选项,"Yes, the issue is fixed","Ja, das Problem ist behoben","Sì, il problema è risolto","Sí, el problema está resuelto","Oui, le problème est résolu","Tak, problem został rozwiązany","Ja, het probleem is opgelost","Tá, tá an fhadhb réitithe",はい、問題は解決しました,نعم، تم حل المشكلة,"Sim, o problema foi resolvido"
一级选项,Need help,Brauche Hilfe,Ho bisogno di aiuto,Necesito ayuda,Besoin d'aide,Potrzebuję pomocy,Hulp nodig,Teastaíonn cabhair uaim,助けが必要です,بحاجة إلى مساعدة,Preciso de ajuda
提示,"🎉 Great news!  We're so glad the troubleshooting steps worked — your device is back up and running!  If you run into any other questions, we're always here to help. Just reach out anytime.","🎉 Tolle Neuigkeiten! Wir freuen uns sehr, dass die Fehlerbehebung funktioniert hat – Ihr Gerät läuft wieder! Bei weiteren Fragen sind wir jederzeit für Sie da. Melden Sie sich einfach jederzeit.","🎉 Ottima notizia! Siamo felici che i passaggi di risoluzione abbiano funzionato – il tuo dispositivo è di nuovo funzionante! Per qualsiasi altra domanda, siamo sempre qui per aiutarti. Contattaci in qualsiasi momento.","🎉 ¡Excelentes noticias! Nos alegra que los pasos de solución hayan funcionado: ¡tu dispositivo vuelve a funcionar! Si tienes más preguntas, siempre estamos aquí para ayudarte. Contáctanos cuando quieras.","🎉 Excellente nouvelle ! Nous sommes ravis que le dépannage ait fonctionné – votre appareil est de nouveau opérationnel ! Pour toute autre question, nous sommes toujours là pour vous aider. Contactez-nous à tout moment.","🎉 Świetna wiadomość! Cieszymy się, że kroki rozwiązywania problemów zadziałały – Twoje urządzenie znów działa! W razie innych pytań zawsze chętnie pomożemy. Skontaktuj się z nami w dowolnym momencie.",🎉 Geweldig nieuws! We zijn blij dat de stappen voor probleemoplossing hebben gewerkt – je apparaat werkt weer! Bij andere vragen staan we altijd voor je klaar. Neem gerust contact op wanneer je wilt.,"🎉 Dea-scéal! Táimid an-sásta gur oibrigh na céimeanna fabhtcheartaithe – tá do ghléas ag feidhmiú arís! Má bhíonn aon cheist eile agat, bímid anseo i gcónaí chun cabhrú. Déan teagmháil linn am ar bith.",🎉 良い知らせです！トラブルシューティングの手順がうまくいき、デバイスが再び動作するようになりました！他にご質問があれば、いつでもお手伝いします。いつでもお気軽にご連絡ください。,🎉 خبر رائع! نحن سعداء بأن خطوات استكشاف الأخطاء نجحت – جهازك يعمل مرة أخرى! إذا واجهت أي أسئلة أخرى، فنحن دائمًا هنا للمساعدة. تواصل معنا في أي وقت.,"🎉 Ótima notícia! Ficamos felizes que as etapas de solução de problemas funcionaram – seu dispositivo voltou a funcionar! Se tiver outras dúvidas, estamos sempre aqui para ajudar. Entre em contato quando quiser."
通用,Product model/name,Produktmodell/-name,Modello/nome del prodotto,Modelo/nombre del producto,Modèle/nom du produit,Model/nazwa produktu,Productmodel/-naam,Samhail/ainm an táirge,製品モデル/名前,موديل/اسم المنتج,Modelo/nome do produto
通用,Problem description,Problembeschreibung,Descrizione del problema,Descripción del problema,Description du problème,Opis problemu,Probleembeschrijving,Cur síos ar an bhfadhb,問題の説明,وصف المشكلة,Descrição do problema
通用,Where did you purchase,Wo haben Sie gekauft,Dove hai acquistato,¿Dónde compraste?,Où avez-vous acheté,Gdzie dokonałeś zakupu,Waar heb je gekocht,Cá cheannaigh tú,どこで購入しましたか,من أين اشتريت,Onde você comprou
一级选项,INIU Official Store,INIU Official Store,INIU Official Store,INIU Official Store,INIU Official Store,INIU Official Store,INIU Official Store,INIU Official Store,INIU公式ストア,متجر INIU الرسمي,Loja Oficial INIU
一级选项,Walmart,Walmart,Walmart,Walmart,Walmart,Walmart,Walmart,Walmart,ウォルマート,وول مارت,Walmart
一级选项,Target,Target,Target,Target,Target,Target,Target,Target,ターゲット,تارجت,Target
一级选项,BestBuy,BestBuy,BestBuy,BestBuy,BestBuy,BestBuy,BestBuy,BestBuy,ベストバイ,بيست باي,BestBuy
一级选项,Cdiscount,Cdiscount,Cdiscount,Cdiscount,Cdiscount,Cdiscount,Cdiscount,Cdiscount,Cdiscount,Cdiscount,Cdiscount
一级选项,Coolblue,Coolblue,Coolblue,Coolblue,Coolblue,Coolblue,Coolblue,Coolblue,Coolblue,Coolblue,Coolblue
说明,"📍 Bought in-store?  Use the model number for Order ID, and a quick photo works as proof.","📍 Im Geschäft gekauft? Verwenden Sie die Modellnummer als Bestell-ID, ein schnelles Foto dient als Nachweis.","📍 Acquistato in negozio? Usa il numero di modello come ID ordine, una foto rapida funge da prova.","📍 ¿Comprado en tienda? Usa el número de modelo como ID de pedido, una foto rápida sirve como comprobante.","📍 Acheté en magasin ? Utilisez le numéro de modèle comme ID de commande, une photo rapide sert de preuve.","📍 Kupione w sklepie? Użyj numeru modelu jako ID zamówienia, szybkie zdjęcie posłuży jako dowód.","📍 In de winkel gekocht? Gebruik het modelnummer als order-ID, een snelle foto geldt als bewijs.","📍 Ceannaithe sa siopa? Úsáid uimhir an mhúnla mar Aitheantas Ordaithe, feidhmíonn grianghraf tapa mar chruthúnas.",📍 店舗で購入しましたか？注文IDとしてモデル番号を使用し、簡単な写真が証明として機能します。,📍 اشتريت من المتجر؟ استخدم رقم الموديل كمعرف الطلب، وصورة سريعة تعمل كإثبات.,"📍 Comprou na loja? Use o número do modelo como ID do pedido, uma foto rápida serve como comprovante."
通用,Order ID,Bestell-ID,ID ordine,ID del pedido,ID de commande,ID zamówienia,Order-ID,Aitheantas Ordaithe,注文ID,معرف الطلب,ID do pedido
通用,Proof of purchase,Kaufnachweis,Prova d'acquisto,Comprobante de compra,Preuve d'achat,Dowód zakupu,Aankoopbewijs,Cruthúnas ceannaigh,購入証明,إثبات الشراء,Comprovante de compra
